legacy_url,new_url,type,confidence,matched_db_slug,matched_title,jaccard
/blog/soporte-de-drupal-que-pasa-cuando-el-soporte-a-mi-version-termina,/blog,hub,low,,"",
/en/blog/automation-operational-efficiency,/en/blog,hub,low,,"",
/blog/periodismo-movil-conoce-las-ventajas-que-aplica-en-tus-plataformas,/blog,hub,low,,"",
/blog/como-hacer-una-estrategia-seo-para-tu-sitio-web,/blog,hub,low,,"",
/blog/como-funciona-la-actualizacion-web,/blog,hub,low,,"",
/blog/politica-privacidad,/blog,hub,low,,"",
/blog/migracion-continua-navegando-los-desafios-y-beneficios-de-la-transicion-empresarial,/blog,hub,low,migracion-cloud-errores-comunes,"5 errores comunes en migraciones cloud (y cómo evitarlos)",0.1
/blog/la-inteligencia-artificial-de-la-mano-con-la-ciberseguridad-mayor-seguridad-en-tus-sitios-web,/blog,hub,low,,"",
/en/blog/enhance-your-ecommerce-by-applying-ux-design,/en/blog,hub,low,,"",
/blog/mejora-tu-ecommerce-aplicando-ux-design,/blog,hub,low,,"",
/blog/automatizacion-devops-herramientas,/blog,hub,low,,"",
/blog/la-nube-como-ahorrar-dinero-y-tiempo-en-tu-negocio,/blog,hub,low,,"",
/en/blog/cms-differences-word-press-drupal-and-strapi-for-media,/en/blog,hub,low,,"",
/blog/desarrollo-web-desacoplado-beneficios-sobre-el-diseno-web-tradicional-o-monolitico,/blog,hub,low,,"",
/en/blog/it-retraining-tech-adaptation,/en/blog,hub,low,,"",
/en/blog/the-difference-between-web-mockups-and-wireframes,/en/blog,hub,low,,"",
/en/blog/benefits-of-cloud-services-for-businesses,/en/blog,hub,low,migracion-cloud-errores-comunes,"5 Common Cloud Migration Mistakes (and How to Avoid Them)",0.143
/en/blog/virtual-and-augmented-reality-what-it-is-and-how-to-apply-it-to-my-business,/en/blog,hub,low,,"",
/en/blog/chatbots-vs-ai-agents-customer-service,/en/blog,hub,low,,"",
/en/blog/how-is-fintech-changing-the-financial-industry,/en/blog,hub,low,,"",
/en/blog/discover-the-benefits-of-generative-ai-for-executive-boards,/en/blog,hub,low,como-implementar-ia-generativa-en-tu-empresa,"How to implement generative AI in your company: practical guide 2026",0.1
/en/blog/staff-augmentation-hand-in-hand-with-global-collaboration,/en/blog,hub,low,staff-augmentation-vs-outsourcing,"Staff Augmentation vs Outsourcing: Which Is Better for Your Project?",0.333
/en/blog/digital-strategies-sustainable-competitive-business-2024,/en/blog,hub,low,,"",
/en/blog/maximizing-efficiency-with-staff-augmentation-a-complete-guide,/en/blog,hub,low,staff-augmentation-vs-outsourcing,"Staff Augmentation vs Outsourcing: Which Is Better for Your Project?",0.286
/en/blog/what-is-heuristic-evaluation-and-when-to-use-it,/en/blog,hub,low,,"",
/en/blog/mobile-application-development-innovation-and-current-trends,/en/blog,hub,low,,"",
/blog/beneficios-5g-y-conectividad-la-revolucion-de-la-comunicacion,/blog,hub,low,,"",
/blog/staff-augmentation-vs-outsourcing-diferencias-y-beneficios,/blog/staff-augmentation-vs-outsourcing,rename,medium,staff-augmentation-vs-outsourcing,"Staff Augmentation vs Outsourcing: ¿cuál es mejor para tu proyecto?",0.6
/blog/reentrenamiento-it-nuevas-tecnologias,/blog,hub,low,,"",
/blog/wcag-que-es-y-como-sumar-mas-usuarios-en-tu-web,/blog,hub,low,,"",
/en/blog/why-invest-in-an-online-store-or-ecommerce,/en/blog,hub,low,,"",
/blog/que-es-una-evaluacion-heuristica-y-cuando-usarla,/blog,hub,low,,"",
/blog/ejemplos-de-blogs-personales-y-temas-que-puedes-usar,/blog,hub,low,,"",
